x,y,c
1251.26,996429,12
563585,160894,4
193304,606372,6
808741,95217.7,1
585009,726463,10
479873,318186,15
350291,250496,18
895962,340373,7
822840,882382,19
746605,905057,3
174108,140599,5
858943,274758,7
710501,595294,9
513535,227760,15
303995,758660,17
14984.6,749779,6
91402.9,919095,12
364452,801111,17
147313,31647.7,5
165899,70833.5,5
988525,178014,1
445692,429853,15
119083,711631,6
4669.33,982604,12
8911.4,637013,6
377880,323893,18
531663,655843,11
571184,952422,13
601764,275002,8
607166,902341,3
166234,39155.2,5
663045,659597,10
450789,943358,13
352123,443587,2
57039.1,28656.9,5
607685,95461.9,4
783319,690146,10
802606,237373,8
519883,952971,13
301950,181066,14
875973,531877,0
726676,394940,9
955901,496384,7
925718,309000,7
539354,453505,15
142338,973632,12
462081,950377,13
235328,714927,17
862239,918363,19
209601,572161,2
779656,52247.7,1
843654,85696,1
996796,669057,0
999695,53102.2,1
611499,443525,9
392438,310038,18
266213,100620,14
297281,548204,2
840144,278176,7
23743.4,777795,12
375866,987274,13
92623.7,403394,16
677206,13061.9,4
56215.1,134617,5
8789.33,843684,12
918790,219459,1
275887,910855,17
272897,897732,17
587909,702719,10
691183,644551,10
837611,287149,7
726493,839381,3
484939,589923,11
205359,75136.6,5
743736,33265.2,4
468459,544023,11
457961,476882,15
949156,921140,19
744438,445296,9
108280,45777.8,5
599048,994263,3
385235,591937,11
735008,891263,3
608966,952086,3
572405,685690,11
361339,859279,17
151555,347362,16
225105,959624,17
425153,84261.6,14
802881,753441,10
517106,334666,15
989990,169805,1
751549,392163,8
345561,648762,11
168981,287393,18
657308,108768,4
491897,45381,14
63539.5,694845,6
699759,883969,3
504807,858730,13
147496,944182,12
949583,249916,7
141575,372509,16
905118,207068,1
692892,631031,10
303049,472213,2
426557,421461,15
70375.7,219337,5
966613,196997,1
683187,725822,10
153233,526902,6
877255,142094,1
821680,197790,1
582049,957305,13
191351,507859,2
177892,42176.6,5
817194,361003,7
475265,699210,11
155553,120640,5
503922,88717.3,4
732017,365520,8
405591,856838,13
279580,323649,18
568743,883633,13
682241,474380,9
755852,934507,3
721915,223670,8
475295,747429,11
123020,302561,16
367809,857265,17
834681,235420,1
35096.3,366405,16
517014,500687,11
662984,44892.7,4
426222,484664,2
104678,707297,6
949339,635914,0
921384,894070,19
549547,987365,13
345988,605701,2
471725,51515.2,14
374981,324473,18
846980,634877,0
316874,934690,17
456099,986236,13
271889,546464,2
982971,517563,0
297800,759728,17
739189,734306,10
567278,704947,10
195990,617145,6
761315,386151,8
839442,128208,1
397656,556902,2
500900,399609,15
890164,705557,0
27466.7,124729,5
994629,838038,19
572588,339793,15
50508.1,747032,6
531327,775658,13
194067,475509,2
843043,908811,19
626759,839961,3
657613,364635,8
197851,302255,18
842158,55482.7,1
123325,294412,16
109928,991485,12
743126,429731,9
314066,713584,17
941069,5096.59,1
286081,384503,18
336314,935087,17
140263,365123,16
733085,885739,3
834620,223090,1
707999,18799.4,4
600238,192053,4
747215,539415,9
252724,751122,17
144475,289865,16
1617.48,846858,12
61006.5,71840.6,5
806238,962493,3
852626,333323,7
210578,373363,18
115604,453261,16
553209,140355,4
14252.1,218024,5
113773,309763,16
454512,335368,15
752220,31251,4
686148,99642.9,4
543443,503922,9
73885.3,729820,6
436720,434767,15
201941,575915,2
696219,673116,10
290353,453993,2
436689,490982,2
232429,949675,17
577868,239082,8
532579,750847,11
628681,446150,9
160192,56886.5,5
504135,469893,15
963042,988678,19
695761,178167,8
924802,815088,19
189947,459395,16
335948,847377,17
178350,263283,18
995178,148534,1
457442,976012,13
998016,897031,19
97506.6,864620,12
625172,447127,9
94393.7,711966,6
437727,975616,13
931516,224647,1
48432.9,214331,5
894620,963958,19
290017,271523,18
227302,42298.7,5
769066,60976,1
410718,276955,15
201971,517685,2
628071,515976,9
604144,701041,10
451613,81942.2,14
466353,202857,14
597827,333872,15
634724,105411,4
854793,859096,19
828791,207343,1
624775,392956,9
720908,470504,9
565752,857631,13
375134,768120,17
184271,527512,2
737907,157140,8
555132,903745,13
905087,180853,1
242866,28840,5
188940,256752,18
604724,327128,8
698508,144139,4
584613,237220,8
351299,940550,17
494461,538652,11
80385.8,152715,5
740745,987213,3
612049,248146,8
620380,288888,8
691122,845790,3
804529,187963,1
149113,472091,16
576037,140233,4
867733,716483,0
911557,319468,7
614704,794153,10
727683,182592,8
43214.2,89144.6,5
667776,125889,4
976531,329875,7
315012,524888,2
569201,770409,10
305826,287698,18
173925,237587,18
108554,593005,6
869045,280007,7
851222,353343,7
744316,48188.7,4
154881,765587,6
326914,68483.5,14
79348.1,712119,6
76601.5,871670,12
640980,379009,8
820002,626942,0
545091,889126,13
448256,637074,11
408979,633045,11
298746,895993,17
465560,943876,13
501205,21790.2,4
152654,427442,16
323038,879635,17
737999,253609,8
313883,226691,18
826685,662343,0
959075,870388,19
873348,462661,7
725028,252907,8
300058,31952.9,14
943999,192206,1
127232,878994,12
65736.9,837153,12
784967,844264,3
524583,867031,13
609638,99337.7,4
956114,701254,0
72267.8,897000,12
875637,111515,1
653859,144200,4
322123,272652,18
104801,941649,12
505051,70040,4
227088,883663,17
290292,531541,2
919980,766655,19
551164,690390,11
662801,35401.5,4
114536,141392,5
492538,430860,15
379131,148015,14
496811,516800,11
793359,518998,9
509262,678671,11
382366,725883,11
688162,430921,9
532151,999939,13
606281,68117.3,4
395184,554857,2
5890.07,469222,16
707877,756310,10
100620,843165,12
623066,122593,4
863247,11322.4,1
491501,622578,11
747337,81057.2,4
496902,955473,13
380108,703146,11
785363,485702,9
552812,146764,4
357097,381024,18
955718,794916,19
630848,396191,9
176580,984954,12
374248,776635,17
131626,20203.3,5
743278,55970.9,4
951720,281289,7
611988,210669,4
27832.9,297464,16
329844,839595,17
55909.9,24170.7,5
639210,882748,3
131626,34333.3,5
847072,4547.26,1
864315,497848,7
596881,268532,8
721641,317728,8
853969,247993,1
14679.4,238716,5
126469,376598,16
707907,769127,10
617145,264504,8
217566,985626,12
65950.5,22156.4,5
168920,347423,16
624104,462783,9
340983,155461,14
319407,525193,2
367565,880581,17
661000,496445,9
802393,875790,19
806879,738182,10
526536,606403,11
611103,765740,10
798181,104648,1
900601,810511,19
144810,504959,16
630177,545824,9
402417,870479,13
253700,595325,2
136540,702811,6
855190,898801,19
66164.1,161260,5
427808,105197,14
573351,731132,10
302286,24689.5,14
548051,496597,9
225562,922941,17
311350,918271,17
110630,208533,5
808039,711478,0
134709,973540,12
284249,698477,17
788110,18982.5,1
895230,984924,19
789636,564074,0
743797,117985,4
615223,915647,3
361126,643910,11
856655,96987.8,1
228492,319407,18
863582,920316,19
229438,773736,17
249550,363903,18
542405,286019,15
984832,509445,0
53804.1,166326,5
81423.4,825282,12
524674,627094,11
426801,383129,15
94668.4,637898,6
258797,783044,17
891537,685324,0
232765,267556,18
146550,246712,5
125095,851863,12
931639,748039,19
80111.1,406781,16
47090.1,442732,16
58717.6,635548,6
336406,642872,2
914701,900296,19
398602,679952,11
432783,14832,14
946165,499802,7
837184,542467,0
534227,522996,11
842097,952574,19
693533,959990,3
397687,320231,15
259163,779046,17
4333.63,222877,5
525590,613666,11
954802,225257,1
398694,686575,11
241096,970397,17
585559,947325,13
255135,536760,2
684011,691610,10
945280,505753,0
435499,582232,11
890225,231239,1
7171.85,843623,12
940977,243751,1
601550,85055.1,4
786157,675619,10
576678,341288,15
142430,190252,5
222327,132145,5
383007,259438,18
4272.59,260323,16
417920,884213,13
82247.4,308237,16
659932,123325,4
855098,994079,19
64851.8,200964,5
811060,321696,7
662069,638874,10
691488,437941,9
802698,923338,3
530137,916623,13
685629,796960,10
142766,449782,16
689505,486068,9
727897,263497,8
777734,160588,1
31067.8,616504,6
868679,800989,19
644520,109989,4
706565,538347,9
85451.8,858547,12
551988,567980,11
947905,472152,7
58778.6,34730.1,5
274972,903897,17
145177,978729,12
981780,148412,1
619984,633900,10
292245,161992,14
922483,219337,1
367534,836879,17
694540,972594,3
218635,29694.5,5
155919,677938,6
240547,137242,5
521439,458968,15
902280,159856,1
106418,263619,16
902646,219153,1
441725,393414,15
80111.1,724174,6
782098,743156,10
171789,437300,16
974395,247383,7
775872,201300,8
870388,501053,0
210639,675497,6
456618,756829,11
3753.78,721946,6
750633,630390,10
114048,700125,6
404706,986175,13
311136,501328,2
992615,759301,19
38575.4,304910,16
252083,19470.8,14
189276,391217,16
247688,520432,2
153508,527940,6
620319,434706,9
885372,82155.8,1
939085,69185.5,1
195654,721793,6
779656,217322,8
645558,987426,3
656758,556993,9
909146,759056,19
455458,269723,15
921293,339732,7
664174,965758,3
150761,153325,5
636341,172552,4
569536,532273,9
422040,210120,14
943022,377850,7
540574,354442,15
578570,234993,8
536454,913633,13
255287,162328,14
396954,325694,15
350261,317637,18
36622.2,764489,12
795251,49928.3,1
196509,133305,5
70284.1,110416,5
389416,858242,17
590747,994873,3
70925,692495,6
197668,34333.3,5
155889,932554,12
644337,282449,8
454329,151494,14
604297,131321,4
697348,901242,3
441298,552812,11
684469,946104,3
396527,526322,2
835719,592914,0
592212,209052,4
199591,699423,6
949461,352275,7
876003,101474,1
391705,991668,13
987457,624042,0
185308,169195,5
895718,653645,0
574450,122.074,4
442061,582171,11
627338,408582,9
708518,400769,9
49623.1,943083,12
285562,460250,2
260201,874508,17
407636,40437,14
895322,898038,19
710196,14252.1,4
728446,832636,3
896054,674642,0
393567,362499,15
397412,842128,17
903867,718345,0
308603,810114,17
388104,877102,17
570574,639027,11
353557,995270,17
733695,908048,3
745354,2014.22,4
736381,392499,8
739433,195441,8
139317,388531,16
200171,928922,12
272591,673055,2
680441,672323,10
911130,496292,7
367840,507828,2
517655,676748,11
109378,98025.5,5
907437,934294,19
203070,972442,12
517960,175970,4
654836,235908,8
438520,670736,11
687643,142857,4
90426.3,34730.1,5
79561.8,19715,5
75777.5,826716,12
27802.4,389111,16
355083,444716,2
307230,470840,2
697287,49531.5,4
142674,134678,5
394848,537980,2
67842.6,484390,16
675741,279275,8
724937,183142,8
198706,533250,2
694021,16022.2,4
615711,313517,8
654897,647847,10
543992,71443.8,4
98300.1,700156,6
545366,77791.7,4
49623.1,766503,12
974578,897031,19
464034,431013,15
969970,6866.66,1
727866,381756,8
530961,540941,11
679922,938200,3
692801,443861,9
372112,369152,18
388623,162420,14
49958.8,887204,12
809778,463027,7
169561,793298,12
60823.4,204688,5
310556,536790,2
784478,22858.4,1
212470,74221,5
321909,21515.5,14
484664,484298,15
9155.55,855312,12
439863,944426,13
507859,130833,4
605945,530045,9
758538,997559,3
401074,478225,2
349803,251411,18
842647,191900,1
942320,372814,7
623310,974822,3
997284,779138,19
53468.4,901975,12
562853,326090,15
863552,975982,19
386761,858791,17
306406,415662,18
284219,521195,2
26703.7,199622,5
612568,708029,10
391186,465285,2
18616.3,105502,5
31037.3,671041,6
455702,349437,15
857936,188787,1
936766,548387,0
401898,832087,17
727287,406903,9
611591,365337,15
808374,59877.3,1
875423,910703,19
582598,122929,4
595019,988556,3
79012.4,995483,12
793176,331034,8
462203,252846,15
590625,209052,4
589434,153630,4
569201,446150,9
816065,992035,3
672750,177435,4
343577,372265,18
10223.7,373882,16
267312,592853,2
341563,818781,17
232093,329875,18
771020,217750,8
371746,827174,17
869869,69887.4,1
116855,958403,12
725578,453902,9
628925,950774,3
893948,611225,0
183020,373547,16
535569,765038,13
902005,326060,7
780084,623463,0
965209,728843,0
197363,103183,5
901547,359325,7
797418,601398,0
953398,899899,19
848811,261971,7
890347,908353,19
628712,755272,10
185461,404828,16
616932,740135,10
264992,817286,17
250649,31403.5,14
732200,467544,9
788110,177038,1
170934,734794,6
713889,283425,8
480941,629536,11
81484.4,142094,5
806543,871303,19
855342,624592,0
124638,816950,12
307474,558489,2
573321,852229,13
472976,493576,15
762047,268929,8
191870,543229,2
727775,323038,8
995025,464095,7
15350.8,233589,5
647633,944395,3
691641,462722,9
174139,330027,16
72115.2,837642,12
274972,356883,18
676626,61250.6,4
838923,497085,7
556658,36286.5,4
371227,897885,17
779504,318369,8
232521,212409,18
638234,49440,4
231666,523423,2
204596,18738.4,5
971038,663442,0
281747,190435,18
22888.9,167211,5
769219,240730,8
151830,476913,16
46968,493454,16
9247.11,482894,16
348582,254372,18
643880,649770,10
343242,46327.1,14
414563,471053,2
