x,y,c
1251.26,996429,17
563585,160894,22
193304,606372,5
808741,95217.7,4
585009,726463,3
479873,318186,20
350291,250496,15
895962,340373,23
822840,882382,7
746605,905057,13
174108,140599,27
858943,274758,26
710501,595294,9
513535,227760,15
303995,758660,25
14984.6,749779,21
91402.9,919095,17
364452,801111,14
147313,31647.7,12
165899,70833.5,12
988525,178014,19
445692,429853,20
119083,711631,21
4669.33,982604,17
8911.4,637013,5
377880,323893,15
531663,655843,2
571184,952422,11
601764,275002,8
607166,902341,11
166234,39155.2,12
663045,659597,3
450789,943358,11
352123,443587,28
57039.1,28656.9,12
607685,95461.9,22
783319,690146,10
802606,237373,26
519883,952971,11
301950,181066,27
875973,531877,9
726676,394940,26
955901,496384,23
925718,309000,23
539354,453505,20
142338,973632,17
462081,950377,11
235328,714927,25
862239,918363,7
209601,572161,6
779656,52247.7,4
843654,85696,19
996796,669057,0
999695,53102.2,19
611499,443525,1
392438,310038,15
266213,100620,29
297281,548204,6
840144,278176,26
23743.4,777795,21
375866,987274,18
92623.7,403394,16
677206,13061.9,4
56215.1,134617,12
8789.33,843684,21
918790,219459,19
275887,910855,18
272897,897732,18
587909,702719,3
691183,644551,3
837611,287149,26
726493,839381,13
484939,589923,2
205359,75136.6,12
743736,33265.2,4
468459,544023,2
457961,476882,20
949156,921140,7
744438,445296,9
108280,45777.8,12
599048,994263,11
385235,591937,2
735008,891263,13
608966,952086,11
572405,685690,3
361339,859279,18
151555,347362,16
225105,959624,18
425153,84261.6,29
802881,753441,10
517106,334666,20
989990,169805,19
751549,392163,26
345561,648762,25
168981,287393,24
657308,108768,4
491897,45381,22
63539.5,694845,21
699759,883969,13
504807,858730,11
147496,944182,17
949583,249916,19
141575,372509,16
905118,207068,19
692892,631031,3
303049,472213,6
426557,421461,20
70375.7,219337,24
966613,196997,19
683187,725822,3
153233,526902,5
877255,142094,19
821680,197790,26
582049,957305,11
191351,507859,6
177892,42176.6,12
817194,361003,26
475265,699210,14
155553,120640,12
503922,88717.3,22
732017,365520,26
405591,856838,14
279580,323649,28
568743,883633,11
682241,474380,1
755852,934507,13
721915,223670,26
475295,747429,14
123020,302561,24
367809,857265,18
834681,235420,26
35096.3,366405,16
517014,500687,20
662984,44892.7,4
426222,484664,20
104678,707297,21
949339,635914,0
921384,894070,7
549547,987365,11
345988,605701,6
471725,51515.2,22
374981,324473,28
846980,634877,0
316874,934690,18
456099,986236,11
271889,546464,6
982971,517563,0
297800,759728,25
739189,734306,10
567278,704947,3
195990,617145,5
761315,386151,26
839442,128208,19
397656,556902,2
500900,399609,20
890164,705557,0
27466.7,124729,12
994629,838038,7
572588,339793,8
50508.1,747032,21
531327,775658,14
194067,475509,16
843043,908811,7
626759,839961,11
657613,364635,8
197851,302255,27
842158,55482.7,19
123325,294412,24
109928,991485,17
743126,429731,9
314066,713584,25
941069,5096.59,19
286081,384503,28
336314,935087,18
140263,365123,16
733085,885739,13
834620,223090,26
707999,18799.4,4
600238,192053,8
747215,539415,9
252724,751122,25
144475,289865,24
1617.48,846858,21
61006.5,71840.6,12
806238,962493,13
852626,333323,26
210578,373363,28
115604,453261,16
553209,140355,22
14252.1,218024,24
113773,309763,24
454512,335368,20
752220,31251,4
686148,99642.9,4
543443,503922,1
73885.3,729820,21
436720,434767,20
201941,575915,6
696219,673116,3
290353,453993,28
436689,490982,20
232429,949675,18
577868,239082,8
532579,750847,14
628681,446150,1
160192,56886.5,12
504135,469893,20
963042,988678,7
695761,178167,4
924802,815088,7
189947,459395,16
335948,847377,18
178350,263283,27
995178,148534,19
457442,976012,11
998016,897031,7
97506.6,864620,17
625172,447127,1
94393.7,711966,21
437727,975616,11
931516,224647,19
48432.9,214331,24
894620,963958,7
290017,271523,27
227302,42298.7,29
769066,60976,4
410718,276955,15
201971,517685,6
628071,515976,1
604144,701041,3
451613,81942.2,22
466353,202857,15
597827,333872,8
634724,105411,4
854793,859096,7
828791,207343,26
624775,392956,1
720908,470504,1
565752,857631,11
375134,768120,14
184271,527512,5
737907,157140,4
555132,903745,11
905087,180853,19
242866,28840,29
188940,256752,27
604724,327128,8
698508,144139,4
584613,237220,8
351299,940550,18
494461,538652,2
80385.8,152715,12
740745,987213,13
612049,248146,8
620380,288888,8
691122,845790,13
804529,187963,26
149113,472091,16
576037,140233,22
867733,716483,10
911557,319468,23
614704,794153,3
727683,182592,4
43214.2,89144.6,12
667776,125889,4
976531,329875,23
315012,524888,6
569201,770409,3
305826,287698,28
173925,237587,27
108554,593005,5
869045,280007,26
851222,353343,26
744316,48188.7,4
154881,765587,21
326914,68483.5,29
79348.1,712119,21
76601.5,871670,17
640980,379009,1
820002,626942,10
545091,889126,11
448256,637074,2
408979,633045,2
298746,895993,18
465560,943876,11
501205,21790.2,22
152654,427442,16
323038,879635,18
737999,253609,26
313883,226691,27
826685,662343,10
959075,870388,7
873348,462661,9
725028,252907,26
300058,31952.9,29
943999,192206,19
127232,878994,17
65736.9,837153,21
784967,844264,13
524583,867031,11
609638,99337.7,22
956114,701254,0
72267.8,897000,17
875637,111515,19
653859,144200,4
322123,272652,28
104801,941649,17
505051,70040,22
227088,883663,18
290292,531541,6
919980,766655,7
551164,690390,3
662801,35401.5,4
114536,141392,12
492538,430860,20
379131,148015,29
496811,516800,2
793359,518998,9
509262,678671,2
382366,725883,14
688162,430921,1
532151,999939,11
606281,68117.3,22
395184,554857,2
5890.07,469222,16
707877,756310,10
100620,843165,17
623066,122593,22
863247,11322.4,19
491501,622578,2
747337,81057.2,4
496902,955473,11
380108,703146,14
785363,485702,9
552812,146764,22
357097,381024,28
955718,794916,7
630848,396191,1
176580,984954,17
374248,776635,14
131626,20203.3,12
743278,55970.9,4
951720,281289,23
611988,210669,8
27832.9,297464,24
329844,839595,18
55909.9,24170.7,12
639210,882748,13
131626,34333.3,12
847072,4547.26,19
864315,497848,9
596881,268532,8
721641,317728,26
853969,247993,26
14679.4,238716,24
126469,376598,16
707907,769127,10
617145,264504,8
217566,985626,18
65950.5,22156.4,12
168920,347423,16
624104,462783,1
340983,155461,29
319407,525193,6
367565,880581,18
661000,496445,1
802393,875790,13
806879,738182,10
526536,606403,2
611103,765740,3
798181,104648,4
900601,810511,7
144810,504959,5
630177,545824,1
402417,870479,18
253700,595325,6
136540,702811,21
855190,898801,7
66164.1,161260,12
427808,105197,29
573351,731132,3
302286,24689.5,29
548051,496597,1
225562,922941,18
311350,918271,18
110630,208533,24
808039,711478,10
134709,973540,17
284249,698477,25
788110,18982.5,4
895230,984924,7
789636,564074,9
743797,117985,4
615223,915647,11
361126,643910,2
856655,96987.8,19
228492,319407,28
863582,920316,7
229438,773736,25
249550,363903,28
542405,286019,8
984832,509445,23
53804.1,166326,24
81423.4,825282,21
524674,627094,2
426801,383129,20
94668.4,637898,5
258797,783044,25
891537,685324,0
232765,267556,27
146550,246712,24
125095,851863,17
931639,748039,0
80111.1,406781,16
47090.1,442732,16
58717.6,635548,5
336406,642872,6
914701,900296,7
398602,679952,14
432783,14832,29
946165,499802,23
837184,542467,9
534227,522996,2
842097,952574,7
693533,959990,13
397687,320231,15
259163,779046,25
4333.63,222877,24
525590,613666,2
954802,225257,19
398694,686575,14
241096,970397,18
585559,947325,11
255135,536760,6
684011,691610,3
945280,505753,23
435499,582232,2
890225,231239,19
7171.85,843623,21
940977,243751,19
601550,85055.1,22
786157,675619,10
576678,341288,8
142430,190252,27
222327,132145,27
383007,259438,15
4272.59,260323,24
417920,884213,18
82247.4,308237,24
659932,123325,4
855098,994079,7
64851.8,200964,24
811060,321696,26
662069,638874,3
691488,437941,1
802698,923338,13
530137,916623,11
685629,796960,3
142766,449782,16
689505,486068,1
727897,263497,26
777734,160588,4
31067.8,616504,5
868679,800989,7
644520,109989,4
706565,538347,1
85451.8,858547,17
551988,567980,2
947905,472152,23
58778.6,34730.1,12
274972,903897,18
145177,978729,17
981780,148412,19
619984,633900,3
292245,161992,27
922483,219337,19
367534,836879,18
694540,972594,13
218635,29694.5,29
155919,677938,5
240547,137242,27
521439,458968,20
902280,159856,19
106418,263619,24
902646,219153,19
441725,393414,20
80111.1,724174,21
782098,743156,10
171789,437300,16
974395,247383,19
775872,201300,26
870388,501053,9
210639,675497,25
456618,756829,14
3753.78,721946,21
750633,630390,10
114048,700125,21
404706,986175,18
311136,501328,6
992615,759301,0
38575.4,304910,24
252083,19470.8,29
189276,391217,16
247688,520432,6
153508,527940,5
620319,434706,1
885372,82155.8,19
939085,69185.5,19
195654,721793,25
779656,217322,26
645558,987426,13
656758,556993,1
909146,759056,10
455458,269723,15
921293,339732,23
664174,965758,13
150761,153325,12
636341,172552,8
569536,532273,1
422040,210120,15
943022,377850,23
540574,354442,20
578570,234993,8
536454,913633,11
255287,162328,27
396954,325694,15
350261,317637,28
36622.2,764489,21
795251,49928.3,4
196509,133305,27
70284.1,110416,12
389416,858242,18
590747,994873,11
70925,692495,21
197668,34333.3,12
155889,932554,17
644337,282449,8
454329,151494,15
604297,131321,22
697348,901242,13
441298,552812,2
684469,946104,13
396527,526322,2
835719,592914,9
592212,209052,8
199591,699423,25
949461,352275,23
876003,101474,19
